id,display_name,works_api_url,works_count,country_code,h_index
https://openalex.org/A5063652311,Mitsuo Yoshida,https://api.openalex.org/works?filter=author.id:A5063652311,454,JP,31
https://openalex.org/A5065395683,Sahil Loomba,https://api.openalex.org/works?filter=author.id:A5065395683,13,GB,5
https://openalex.org/A5091787895,Monica Bianchini,https://api.openalex.org/works?filter=author.id:A5091787895,161,IT,22
https://openalex.org/A5069608785,Malte Jung,https://api.openalex.org/works?filter=author.id:A5069608785,128,US,25
https://openalex.org/A5034468528,Massimiliano Di Luca,https://api.openalex.org/works?filter=author.id:A5034468528,163,RO,21
https://openalex.org/A5011228873,Alessandro Flammini,https://api.openalex.org/works?filter=author.id:A5011228873,216,IT,57
https://openalex.org/A5013262618,D. Sunshine Hillygus,https://api.openalex.org/works?filter=author.id:A5013262618,102,US,24
https://openalex.org/A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,30,IL,6
https://openalex.org/A5016779163,Amy Selby,https://api.openalex.org/works?filter=author.id:A5016779163,1,US,1
https://openalex.org/A5086893629,Loreto Bravo,https://api.openalex.org/works?filter=author.id:A5086893629,61,CL,18
https://openalex.org/A5092515835,Simon Walo,https://api.openalex.org/works?filter=author.id:A5092515835,3,CH,1
https://openalex.org/A5081429241,Jake M. Hofman,https://api.openalex.org/works?filter=author.id:A5081429241,70,US,25
https://openalex.org/A5024786684,Sajid Siraj,https://api.openalex.org/works?filter=author.id:A5024786684,45,GB,14
https://openalex.org/A5039903863,Marisa Vasconcelos,https://api.openalex.org/works?filter=author.id:A5039903863,90,BR,18
https://openalex.org/A5037130457,Joanna J. Bryson,https://api.openalex.org/works?filter=author.id:A5037130457,90,DE,21
https://openalex.org/A5057850553,Stefan Katz,https://api.openalex.org/works?filter=author.id:A5057850553,7,CH,3
https://openalex.org/A5034833027,Kristen Engel,https://api.openalex.org/works?filter=author.id:A5034833027,1,US,1
https://openalex.org/A5031799782,Nicola Perra,https://api.openalex.org/works?filter=author.id:A5031799782,133,GB,35
https://openalex.org/A5044205949,Kiyoshi Izumi,https://api.openalex.org/works?filter=author.id:A5044205949,290,JP,14
https://openalex.org/A5062365263,Fengli Xu,https://api.openalex.org/works?filter=author.id:A5062365263,105,CN,19
https://openalex.org/A5002041772,Dashun Wang,https://api.openalex.org/works?filter=author.id:A5002041772,130,US,28
https://openalex.org/A5049445164,Miquel Montero,https://api.openalex.org/works?filter=author.id:A5049445164,123,ES,15
https://openalex.org/A5021346979,Filippo Menczer,https://api.openalex.org/works?filter=author.id:A5021346979,341,US,64
https://openalex.org/A5020377010,Elliott Ash,https://api.openalex.org/works?filter=author.id:A5020377010,161,CH,11
https://openalex.org/A5029529751,Isabelle Langrock,https://api.openalex.org/works?filter=author.id:A5029529751,4,FR,1
https://openalex.org/A5054806059,Qiusi Sun,https://api.openalex.org/works?filter=author.id:A5054806059,7,US,6
https://openalex.org/A5055757510,Yunhao Yuan,https://api.openalex.org/works?filter=author.id:A5055757510,357,CN,26
https://openalex.org/A5002607503,Surendra Hazarie,https://api.openalex.org/works?filter=author.id:A5002607503,12,US,5
https://openalex.org/A5061454360,Anna Sára Ligeti,https://api.openalex.org/works?filter=author.id:A5061454360,8,HU,1
