id,display_name,works_api_url,works_count,h_index,country_code
https://openalex.org/A5083941800,Matteo Tiezzi,https://api.openalex.org/works?filter=author.id:A5083941800,41,4,IT
https://openalex.org/A5061040653,Anthony Bedford,https://api.openalex.org/works?filter=author.id:A5061040653,39,9,NZ
https://openalex.org/A5006316724,Tobias Lauinger,https://api.openalex.org/works?filter=author.id:A5006316724,28,11,US
https://openalex.org/A5029014646,Daniel W. Barrett,https://api.openalex.org/works?filter=author.id:A5029014646,20,8,US
https://openalex.org/A5000684194,Andrei Boutyline,https://api.openalex.org/works?filter=author.id:A5000684194,15,4,US
https://openalex.org/A5062272768,Max N. Goder-Reiser,https://api.openalex.org/works?filter=author.id:A5062272768,4,4,US
https://openalex.org/A5004325765,Zoltán Lábszki,https://api.openalex.org/works?filter=author.id:A5004325765,1,1,HU
https://openalex.org/A5017326471,Javier Del Ser,https://api.openalex.org/works?filter=author.id:A5017326471,503,41,ES
https://openalex.org/A5060460052,C. Bailey,https://api.openalex.org/works?filter=author.id:A5060460052,428,27,US
https://openalex.org/A5042511675,Caroline L Relton,https://api.openalex.org/works?filter=author.id:A5042511675,367,78,GB
https://openalex.org/A5026230156,Kensuke Fukuda,https://api.openalex.org/works?filter=author.id:A5026230156,331,26,JP
https://openalex.org/A5021659358,Yizhou Zhang,https://api.openalex.org/works?filter=author.id:A5021659358,324,53,CN
https://openalex.org/A5046031187,Shivakant Mishra,https://api.openalex.org/works?filter=author.id:A5046031187,233,31,IN
https://openalex.org/A5033411778,Subhashis Majumder,https://api.openalex.org/works?filter=author.id:A5033411778,213,10,IN
https://openalex.org/A5063501905,Richard Booth,https://api.openalex.org/works?filter=author.id:A5063501905,167,19,GB
https://openalex.org/A5030777395,Matloob Khushi,https://api.openalex.org/works?filter=author.id:A5030777395,98,16,AU
https://openalex.org/A5077068474,Mageswary Karpudewan,https://api.openalex.org/works?filter=author.id:A5077068474,86,16,MY
https://openalex.org/A5010842489,Harriëtte Riese,https://api.openalex.org/works?filter=author.id:A5010842489,82,14,NL
https://openalex.org/A5014532498,David Sirkin,https://api.openalex.org/works?filter=author.id:A5014532498,82,18,US
https://openalex.org/A5053479856,Carolien Martijn,https://api.openalex.org/works?filter=author.id:A5053479856,78,26,NL
https://openalex.org/A5008636829,Adam D. I. Kramer,https://api.openalex.org/works?filter=author.id:A5008636829,47,17,US
https://openalex.org/A5020653666,Vlad Hosu,https://api.openalex.org/works?filter=author.id:A5020653666,46,10,DE
https://openalex.org/A5032363071,Jim Lumsden,https://api.openalex.org/works?filter=author.id:A5032363071,30,10,GB
https://openalex.org/A5068956433,Luca Paulon,https://api.openalex.org/works?filter=author.id:A5068956433,29,6,IT
https://openalex.org/A5047870167,Chenhui Guo,https://api.openalex.org/works?filter=author.id:A5047870167,26,6,US
https://openalex.org/A5056804412,Jamel Khenfer,https://api.openalex.org/works?filter=author.id:A5056804412,26,5,FR
https://openalex.org/A5063457484,Miew Keen Choong,https://api.openalex.org/works?filter=author.id:A5063457484,24,7,AU
https://openalex.org/A5001775141,Eiichi Furukawa,https://api.openalex.org/works?filter=author.id:A5001775141,19,3,
https://openalex.org/A5035719860,Leanna Boyer,https://api.openalex.org/works?filter=author.id:A5035719860,12,5,CA
https://openalex.org/A5024044519,Briony Swire,https://api.openalex.org/works?filter=author.id:A5024044519,6,5,AU
https://openalex.org/A5016270542,Hongtao Xian,https://api.openalex.org/works?filter=author.id:A5016270542,4,3,CN
https://openalex.org/A5067742823,Amy L Lanza,https://api.openalex.org/works?filter=author.id:A5067742823,4,3,US
https://openalex.org/A5088028306,Harlan M. Krumholz,https://api.openalex.org/works?filter=author.id:A5088028306,2406,199,US
https://openalex.org/A5041175834,Nigam H. Shah,https://api.openalex.org/works?filter=author.id:A5041175834,492,65,US
https://openalex.org/A5023894100,Luciano Serafini,https://api.openalex.org/works?filter=author.id:A5023894100,334,32,IT
https://openalex.org/A5082580430,Bamshad Mobasher,https://api.openalex.org/works?filter=author.id:A5082580430,308,50,US
